id,question,bert_precision,bert_recall,bert_F1
1,"What does the ""yield"" keyword do in Python?",0.7937,0.8087,0.8011
2,"What does if __name__ == ""__main__"": do?",0.826,0.8383,0.8321
3,Does Python have a ternary conditional operator?,0.817,0.8222,0.8196
4,What are metaclasses in Python?,0.8135,0.8218,0.8176
5,How do I check whether a file exists without exceptions?,0.8361,0.8333,0.8347
6,How do I merge two dictionaries in a single expression in Python?,0.8452,0.8377,0.8415
7,How do I execute a program or call a system command?,0.8434,0.8106,0.8267
8,"How do I create a directory, and any missing parent directories?",0.8333,0.8262,0.8297
9,How can I access the index value in a 'for' loop?,0.8589,0.7888,0.8224
10,How do I make a flat list out of a list of lists?,0.8163,0.8309,0.8236
11,What is the difference between @staticmethod and @classmethod in Python?,0.814,0.836,0.8248
12,How slicing in Python works,0.8374,0.8286,0.833
13,How can I find the index for a given item in a list?,0.8382,0.8515,0.8448
14,"Iterating over a dictionary using a 'for' loop, getting keys",0.8417,0.8076,0.8243
15,How can I iterate over rows in a Pandas DataFrame?,0.8211,0.8233,0.8222
16,How can I use a global variable in a function?,0.8585,0.8211,0.8394
17,How do I get the current time in Python?,0.8076,0.7993,0.8034
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.8258,0.8006,0.813
19,How do I copy a file?,0.8591,0.8371,0.848
20,What is __init__.py for?,0.8507,0.8285,0.8394
21,Convert bytes to a string in Python 3,0.868,0.8014,0.8334
22,What is the difference between __str__ and __repr__?,0.8108,0.8188,0.8148
23,How do I select rows from a DataFrame based on column values?,0.8293,0.8343,0.8318
24,How can I add new keys to a dictionary?,0.832,0.801,0.8162
25,Does Python have a string 'contains' substring method?,0.8211,0.7692,0.7943
26,How can I delete a file or folder in Python?,0.861,0.7934,0.8258
27,"Least Astonishment"" and the Mutable Default Argument",0.8324,0.7911,0.8112
28,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,0.8306,0.8399,0.8352
29,How do I list all files of a directory?,0.8102,0.8103,0.8103
30,How can I access environment variables in Python?,0.8358,0.8089,0.8221
31,How do I sort a dictionary by value?,0.8445,0.8298,0.8371
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,0.8307,0.8436,0.8371
33,How do I pass a variable by reference?,0.8084,0.8227,0.8155
34,How do I print colored text to the terminal?,0.8114,0.8045,0.8079
35,Manually raising (throwing) an exception in Python,0.8088,0.815,0.8119
36,Understanding Python super() with __init__() methods,0.8432,0.7963,0.8191
37,How do I make a time delay?,0.8219,0.7798,0.8003
38,How do I change the size of figures drawn with Matplotlib?,0.8663,0.8029,0.8334
39,How do I concatenate two lists in Python?,0.8414,0.7981,0.8192
40,How do I check if a list is empty?,0.8703,0.7856,0.8258
41,How do I make function decorators and chain them together,0.8029,0.8112,0.807
42,How do I split a list into equally-sized chunks?,0.7991,0.8032,0.8011
43,Find the current directory and file's directory,0.8502,0.8289,0.8394
44,What is the difference between Python's list methods append and extend?,0.8735,0.8489,0.861
